 Disk integrated flux for G2V star (erg s-1 Sr-1 cm-2 nm-1)
=============================================================
Wavelength   quiet     spot      penumbra     umbra
   [nm]      region
=============================================================
  767.000  5.627e+07  2.955e+07  3.407e+07  8.175e+06
  769.000  5.723e+07  3.039e+07  3.502e+07  8.469e+06
  771.000  5.649e+07  2.985e+07  3.443e+07  8.172e+06
  773.000  5.645e+07  3.003e+07  3.455e+07  8.640e+06
  775.000  5.573e+07  2.963e+07  3.411e+07  8.407e+06
  777.000  5.618e+07  3.012e+07  3.468e+07  8.502e+06
  779.000  5.620e+07  3.002e+07  3.456e+07  8.533e+06
  781.000  5.574e+07  2.989e+07  3.435e+07  8.831e+06
  783.000  5.511e+07  2.949e+07  3.390e+07  8.640e+06
  785.000  5.492e+07  2.948e+07  3.386e+07  8.746e+06
  787.000  5.514e+07  2.969e+07  3.407e+07  8.982e+06
  789.000  5.469e+07  2.942e+07  3.369e+07  9.215e+06
  791.000  5.387e+07  2.891e+07  3.309e+07  9.095e+06
  793.000  5.288e+07  2.846e+07  3.254e+07  9.157e+06
  795.000  5.274e+07  2.828e+07  3.231e+07  9.168e+06
  797.000  5.356e+07  2.900e+07  3.310e+07  9.611e+06
  799.000  5.339e+07  2.888e+07  3.297e+07  9.546e+06
  801.000  5.266e+07  2.856e+07  3.257e+07  9.613e+06
  803.000  5.251e+07  2.860e+07  3.258e+07  9.736e+06
  805.000  5.200e+07  2.831e+07  3.222e+07  9.804e+06
  807.000  5.221e+07  2.841e+07  3.234e+07  9.824e+06
  809.000  5.118e+07  2.785e+07  3.165e+07  9.871e+06
  811.000  5.150e+07  2.802e+07  3.183e+07  9.996e+06
  813.000  5.158e+07  2.820e+07  3.202e+07  1.014e+07
  815.000  5.121e+07  2.806e+07  3.184e+07  1.017e+07
  817.000  5.102e+07  2.799e+07  3.176e+07  1.014e+07
  819.000  4.942e+07  2.673e+07  3.046e+07  9.061e+06
  821.000  4.958e+07  2.713e+07  3.086e+07  9.441e+06
  823.000  4.939e+07  2.713e+07  3.082e+07  9.650e+06
  825.000  4.969e+07  2.738e+07  3.112e+07  9.708e+06
  827.000  4.998e+07  2.756e+07  3.133e+07  9.707e+06
  829.000  4.963e+07  2.734e+07  3.112e+07  9.459e+06
  831.000  4.861e+07  2.671e+07  3.038e+07  9.350e+06
  833.000  4.822e+07  2.639e+07  3.002e+07  9.238e+06
  835.000  4.838e+07  2.660e+07  3.026e+07  9.271e+06
  837.000  4.853e+07  2.673e+07  3.041e+07  9.281e+06
  839.000  4.751e+07  2.577e+07  2.936e+07  8.786e+06
  841.000  4.821e+07  2.665e+07  3.030e+07  9.364e+06
  843.000  4.727e+07  2.597e+07  2.959e+07  8.862e+06
  845.000  4.740e+07  2.628e+07  2.993e+07  8.966e+06
  847.000  4.700e+07  2.597e+07  2.959e+07  8.790e+06
  849.000  4.656e+07  2.588e+07  2.946e+07  8.900e+06
  851.000  4.452e+07  2.471e+07  2.812e+07  8.522e+06
  853.000  4.579e+07  2.548e+07  2.899e+07  8.846e+06
  855.000  3.969e+07  2.218e+07  2.517e+07  8.002e+06
  857.000  4.654e+07  2.602e+07  2.956e+07  9.218e+06
  859.000  4.562e+07  2.560e+07  2.906e+07  9.213e+06
  861.000  4.546e+07  2.555e+07  2.898e+07  9.270e+06
  863.000  4.581e+07  2.572e+07  2.916e+07  9.422e+06
  865.000  4.516e+07  2.547e+07  2.886e+07  9.414e+06
  867.000  3.937e+07  2.216e+07  2.508e+07  8.304e+06
  869.000  4.395e+07  2.445e+07  2.772e+07  8.986e+06
  871.000  4.468e+07  2.524e+07  2.854e+07  9.603e+06
  873.000  4.444e+07  2.518e+07  2.846e+07  9.606e+06
  875.000  4.337e+07  2.492e+07  2.814e+07  9.627e+06
  877.000  4.428e+07  2.514e+07  2.842e+07  9.593e+06
  879.000  4.397e+07  2.499e+07  2.822e+07  9.706e+06
  881.000  4.295e+07  2.419e+07  2.731e+07  9.415e+06
  883.000  4.341e+07  2.453e+07  2.772e+07  9.437e+06
  885.000  4.307e+07  2.471e+07  2.789e+07  9.629e+06
  887.000  4.168e+07  2.396e+07  2.723e+07  8.409e+06
  889.000  4.314e+07  2.453e+07  2.790e+07  8.579e+06
  891.000  4.336e+07  2.467e+07  2.802e+07  8.780e+06
  893.000  4.257e+07  2.420e+07  2.746e+07  8.776e+06
  895.000  4.253e+07  2.408e+07  2.735e+07  8.567e+06
  897.000  4.243e+07  2.412e+07  2.738e+07  8.683e+06
  899.000  4.217e+07  2.413e+07  2.734e+07  8.898e+06
  901.000  3.965e+07  2.295e+07  2.597e+07  8.647e+06
  903.000  4.104e+07  2.369e+07  2.680e+07  8.913e+06
  905.000  4.200e+07  2.417e+07  2.734e+07  9.130e+06
  907.000  4.138e+07  2.394e+07  2.705e+07  9.224e+06
  909.000  4.034e+07  2.327e+07  2.627e+07  9.038e+06
  911.000  4.072e+07  2.337e+07  2.638e+07  9.109e+06
  913.000  4.133e+07  2.377e+07  2.682e+07  9.304e+06
  915.000  4.071e+07  2.326e+07  2.621e+07  9.316e+06
  917.000  4.028e+07  2.300e+07  2.589e+07  9.342e+06
  919.000  4.019e+07  2.305e+07  2.593e+07  9.419e+06
  921.000  3.885e+07  2.243e+07  2.520e+07  9.286e+06
  923.000  3.746e+07  2.224e+07  2.497e+07  9.276e+06
  925.000  3.829e+07  2.223e+07  2.499e+07  9.173e+06
  927.000  3.904e+07  2.256e+07  2.538e+07  9.236e+06
